"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"12000","Florida",735061.2,744674.5,751792.2,756187.7,746767.0,756616.3,755561.6,762015.1,770236.6,773982.0,783994.5,785967.1,800612.5,804243.0,815404.2,826747.0,829141.8,844744.3,859527.2,873356.2,887079.8,903590.7,915913.2,927495.9,938193.0,948296.5,957305.2,969615.5,985042.8,994942.8,1008141.9,1022144.8,1039403.9,1055313.3,1063506.6,1073225.6,1096690.2,1111257.2,1124624.6,1133169.7,1134749.2,1035634.0,1120033.0,1133725.9,1163188.9,1198913.1,1226956.0
"13000","Georgia",411799.0,415065.2,419616.2,425884.7,426676.0,428903.5,433641.7,437394.4,442001.0,446769.9,450437.0,451850.8,460277.5,461258.4,465235.7,472239.8,477591.9,487131.6,495194.9,500398.6,510448.9,519482.2,525015.9,529085.7,538158.0,545916.5,550177.6,555934.5,565124.7,569342.6,576917.9,586232.4,589884.6,600786.0,605202.2,613487.7,625793.2,635733.0,642788.9,646879.7,639676.7,584177.3,628821.9,637835.4,654267.7,673071.9,687679.9
"15000","Hawaii",65573.7,66299.4,67501.3,68117.5,68421.6,68635.1,69013.9,70264.9,70855.3,71866.3,72410.1,72489.4,74121.7,73986.7,74655.8,75455.6,75233.1,76274.8,77437.6,78147.7,79894.0,80913.9,81707.0,82406.3,82960.5,83563.4,84113.3,85020.2,85902.1,86451.9,87588.9,88768.4,89051.4,90232.3,90688.1,91133.9,90772.6,91349.4,92217.8,92784.7,86009.4,77168.4,83544.2,84816.4,86640.4,89660.9,92445.4
"16000","Idaho",54950.3,55114.6,55828.1,56457.2,56269.0,56758.1,57097.1,57640.2,57587.0,58164.9,58816.1,58727.8,60557.8,61484.8,62229.3,63071.2,63206.8,64317.7,65075.1,65701.2,65898.7,65629.2,66103.9,65967.9,68220.8,68521.4,69112.8,69494.7,70877.5,71425.6,71812.0,72638.6,76240.8,77399.1,77845.5,78490.1,81300.4,82193.1,82705.2,83481.8,86822.8,77221.3,85042.0,86200.2,89142.7,92300.5,93784.7
"17000","Illinois",652523.5,662942.1,672613.9,677539.9,680955.8,690224.7,695318.5,705024.2,721011.3,727758.5,729198.2,727628.4,737708.8,735411.1,740039.4,751326.6,751153.3,767880.4,780221.4,786169.3,790762.1,798360.8,806568.8,804030.2,796611.4,804132.3,809605.8,817823.3,812173.5,819859.4,830458.7,845809.1,851653.7,865167.8,873985.4,879335.1,876144.9,887624.4,896307.2,901867.8,882624.7,801478.3,866988.9,882375.6,907742.7,938215.7,956365.5
"18000","Indiana",274735.9,281428.3,286035.2,288049.2,287457.8,289906.9,292197.2,295862.5,298023.6,301341.9,302567.7,300122.4,311398.0,308324.5,312661.4,316169.9,320818.1,327921.9,332092.6,331000.6,328681.8,332551.9,332796.0,333752.9,335886.1,339666.9,341890.0,344559.9,347418.2,349426.5,354031.4,361725.1,366055.5,372929.4,376171.0,378917.6,375402.3,379380.0,382662.3,386636.7,386173.6,346195.5,381518.9,387458.7,401442.4,415343.7,423051.8
"19000","Iowa",139434.5,141860.3,142959.7,144681.2,144777.1,146636.5,149260.5,153236.4,156232.6,159467.6,160066.6,158386.7,161442.5,160363.1,162577.6,164417.9,166554.4,173197.5,175933.8,176697.9,178465.5,179884.6,181466.0,181381.0,180128.2,180630.8,181514.0,181772.6,181937.8,182528.0,183551.2,186182.1,188077.5,189970.9,191090.6,192473.3,189396.6,192474.8,195974.5,199444.4,196663.4,179924.6,197094.0,203388.4,210575.6,220929.4,225144.2
"20000","Kansas",124589.4,127204.9,130127.6,132443.5,133157.5,136722.1,137593.3,137962.6,144864.5,143181.8,139406.1,139820.4,142458.8,143678.1,144641.0,147154.9,144093.0,148874.0,152978.0,154789.4,151732.5,154889.7,156261.2,156949.4,156855.9,160026.7,161649.9,163271.7,162412.9,164024.8,165135.3,168120.0,169674.9,171712.2,173341.2,174581.8,173302.4,176027.0,178026.8,179597.9,179788.1,161777.6,177487.1,181514.3,185785.2,193139.4,196494.6
"21000","Kentucky",161357.3,165752.3,168891.0,169634.1,168132.5,170403.5,172058.3,175753.3,176704.9,178502.3,179052.1,178315.5,184845.2,183411.0,184656.5,185184.7,184832.7,187991.6,189403.9,189707.0,190561.6,193780.5,194437.9,194872.2,193291.9,196344.9,197297.5,199005.5,198155.4,200173.5,202086.9,205804.3,204260.9,208456.4,209506.3,210777.5,212364.1,215026.7,217483.7,219531.6,217787.7,196392.7,216096.0,219882.0,226055.6,234311.1,239208.5
"22000","Louisiana",218847.5,224085.2,229040.9,229262.1,227083.3,229374.3,229594.2,233728.1,236763.8,238130.5,234401.8,232242.7,231818.3,228835.3,230416.6,232259.7,233108.8,240492.1,244771.4,244576.8,237729.1,236990.6,235201.1,230533.3,223068.2,225382.6,227571.9,232340.0,234470.0,238913.8,243619.6,249813.6,252476.1,256571.0,256989.0,257204.9,253204.0,254445.3,255141.0,255457.7,245726.5,217820.8,237571.5,240630.7,246028.8,253314.6,256905.1
