State,State Code,Year,Month Code,Gender,Deaths
Alabama,1,2016,2016/04,Male,2198
Alabama,1,2016,2016/05,Female,2064
Alabama,1,2016,2016/05,Male,2200
Alabama,1,2016,2016/06,Female,2018
Alabama,1,2016,2016/06,Male,2089
Alabama,1,2016,2016/07,Female,2025
Alabama,1,2016,2016/07,Male,2165
Alabama,1,2016,2016/08,Female,2067
Alabama,1,2016,2016/08,Male,2132
Alabama,1,2016,2016/09,Female,2003
Alabama,1,2016,2016/09,Male,2119
Alabama,1,2016,2016/10,Female,2089
Alabama,1,2016,2016/10,Male,2255
Alabama,1,2016,2016/11,Female,2169
Alabama,1,2016,2016/11,Male,2259
Alabama,1,2016,2016/12,Female,2408
Alabama,1,2016,2016/12,Male,2488
Alabama,1,2017,2017/01,Female,2361
Alabama,1,2017,2017/01,Male,2499
Alabama,1,2017,2017/02,Female,2110
Alabama,1,2017,2017/02,Male,2228
Alabama,1,2017,2017/03,Female,2306
Alabama,1,2017,2017/03,Male,2386
Alabama,1,2017,2017/04,Female,2145
Alabama,1,2017,2017/04,Male,2250
Alabama,1,2017,2017/05,Female,2147
Alabama,1,2017,2017/05,Male,2248
Alabama,1,2017,2017/06,Female,2011
Alabama,1,2017,2017/06,Male,2144
Alabama,1,2017,2017/07,Female,2060
Alabama,1,2017,2017/07,Male,2165
Alabama,1,2017,2017/08,Female,2030
Alabama,1,2017,2017/08,Male,2195
Alabama,1,2017,2017/09,Female,2061
Alabama,1,2017,2017/09,Male,2254
Alabama,1,2017,2017/10,Female,2115
Alabama,1,2017,2017/10,Male,2222
Alabama,1,2017,2017/11,Female,2111
Alabama,1,2017,2017/11,Male,2291
Alabama,1,2017,2017/12,Female,2398
Alabama,1,2017,2017/12,Male,2501
Alabama,1,2018,2018/01,Female,2832
Alabama,1,2018,2018/01,Male,2869
Alabama,1,2018,2018/02,Female,2191
Alabama,1,2018,2018/02,Male,2331
Alabama,1,2018,2018/03,Female,2258
Alabama,1,2018,2018/03,Male,2402
Alabama,1,2018,2018/04,Female,2143
Alabama,1,2018,2018/04,Male,2263
Alabama,1,2018,2018/05,Female,2133
Alabama,1,2018,2018/05,Male,2325
Alabama,1,2018,2018/06,Female,2017
Alabama,1,2018,2018/06,Male,2221
Alabama,1,2018,2018/07,Female,2056
Alabama,1,2018,2018/07,Male,2303
Alabama,1,2018,2018/08,Female,1994
Alabama,1,2018,2018/08,Male,2281
Alabama,1,2018,2018/09,Female,1984
Alabama,1,2018,2018/09,Male,2175
Alabama,1,2018,2018/10,Female,2150
Alabama,1,2018,2018/10,Male,2191
Alabama,1,2018,2018/11,Female,2159
Alabama,1,2018,2018/11,Male,2221
Alabama,1,2018,2018/12,Female,2361
Alabama,1,2018,2018/12,Male,2492
Alabama,1,2019,2019/01,Female,2380
Alabama,1,2019,2019/01,Male,2531
Alabama,1,2019,2019/02,Female,2132
Alabama,1,2019,2019/02,Male,2268
