State,State Code,Year,Births,Total Population,Birth Rate,Female Population,Fertility Rate
Wisconsin,55,2013,66649,5742713,11.61,1086889,61.32
Wisconsin,55,2014,67161,5757564,11.66,1087273,61.77
Wisconsin,55,2015,67041,5771337,11.62,1085396,61.77
Wisconsin,55,2016,66615,5778708,11.53,1081593,61.59
Wisconsin,55,2017,64975,5795483,11.21,1083819,59.95
Wisconsin,55,2018,64098,5813568,11.03,1087469,58.94
Wisconsin,55,2019,63270,5822434,10.87,1089703,58.06
Wisconsin,55,2020,60594,5832655,10.39,1093242,55.43
Wyoming,56,2010,7556,563626,13.41,106612,70.87
Wyoming,56,2011,7399,568158,13.02,107091,69.09
Wyoming,56,2012,7572,576412,13.14,108992,69.47
Wyoming,56,2013,7644,582658,13.12,110241,69.34
Wyoming,56,2014,7696,584153,13.17,110821,69.45
Wyoming,56,2015,7765,586107,13.25,110670,70.16
Wyoming,56,2016,7386,585501,12.61,109988,67.15
Wyoming,56,2017,6903,579315,11.92,107740,64.07
Wyoming,56,2018,6562,577737,11.36,107505,61.04
Wyoming,56,2019,6565,578759,11.34,107944,60.82
Wyoming,56,2020,6128,582328,10.52,108587,56.43
